page,combined_question_number,page_question_number,source_quiz_name,source_quiz_id,source_question_id,question_type,question,points,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,correct_answer_labels,feedback
2,16,4,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,46b21cda-53a5-42b4-a29c-9091c713bc52,radio_button,"A 16-year-old patient presents with labored breathing and increased respiratory rate, increased heart rate, and leaning forward with his hands on his knees. His skin is a normal color and his pulse oximetry is 96. This patient is suffering from respiratory:",1,arrest.,failure.,distress.,hypoxia.,,,C,
2,17,5,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,943991e1-6210-4c73-b45a-3aea92832cf9,radio_button,When does respiratory distress change to respiratory failure?,1,"When continuation of a respiratory challenge results in the systems being unable to keep up with the demand, and the skin color and mental status change.","When continuation of a respiratory challenge causes the systems to fail, the pupils to dilate, and the skin to become hot and dry due to the demand for oxygen.",When a patient who is short of breath presents in the tripod position with noisy respirations that suddenly clear up and return to normal.,When a compensatory mechanism is no longer needed and the patient goes into respiratory arrest.,,,A,
2,18,6,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,62fd0fd1-4b1f-4fe6-9559-13a01199fd69,radio_button,"You have arrived at the scene of a call for a ""man down."" As you enter the residence you note that your patient is a male in his mid-60s who is awake but does not seem to acknowledge your presence. He is perspiring profusely, has cyanosis of his ears and lips, and has rapid, shallow respirations. Which of the following should you do first?",1,Assist ventilations with a bag-valve mask and supplemental oxygen.,Check for a radial pulse.,Listen to his lung sounds.,Obtain the patient's medical history.,,,A,
2,19,7,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,266bd48d-2039-45bd-bd26-169abd25b287,radio_button,"When you question an edlerly woman with a respiratory complaint, she speaks in short two- or 3 word-sentences. Is this signifigant?",1,"Yes, she is probably very short of breath","No, she probably always speaks that way","Yes, she must have a completely blocked airway","No, elderly people always talk slowly",,,A,
2,20,8,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,6d564955-583e-401b-a21b-c0b3c645e61e,radio_button,CPAP is indicated for patients who:,1,have pulmonary edema and can follow verbal commands.,are unresponsive and have signs of inadequate ventilation.,are hypotensive and have a marked reduction in tidal volume.,have signs of pneumonia but are breathing adequately.,,,A,
2,21,9,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,ec3c1319-cd37-4eb7-85f5-fe4ae584a810,radio_button,How does CPAP improve oxygenation and ventilation in patients with certain respiratory problems?,1,It forces the alveoli open and decreases the concentration of oxygen in the alveoli.,"It pushes thick, infected pulmonary secretions into isolated areas of the lung.",It prevents alveolar collapse by pushing air into the lungs during inhalation.,"It decreases intrathoracic pressure, which allows more room for lung expansion.",,,C,
2,22,10,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,bf2c2823-23ee-482e-b9ee-d50d6f009b48,radio_button,For which of the following conditions is albuterol prescribed?,1,Asthma,Allergic reactions,Hypertension,Heart disease,,,A,
2,23,11,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,2068c691-a24e-4767-a6aa-1ebb00a044e9,radio_button,"Typically, the highest continuous positive airway pressure (CPAP) pressure used by the EMT without special permission from medical direction is:",1,5 cmH2O,20 cmH2O,10 cmH2O,2 cmH2O,,,C,
2,24,12,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,ca3f5715-cdd8-437d-a259-182d14ae4b42,radio_button,"A 12-year-old female patient is having an asthma attack after participating in some strenuous activity during recess at school. She's taken several doses of her own bronchodilator with little relief. Your partner immediately administers oxygen. Providing supplemental oxygen will increase the amount of oxygen molecules carried by the ________ in her blood, helping oxygenate critical organs like the brain.",1,plasma,albumin,white blood cells,hemoglobin,,,D,
2,25,13,Refresher A - 2,78df99bd-d81a-4f24-a855-81ea0a3a71ec,fd56c47e-6ed5-4ccc-9370-ddd33a918d68,radio_button,You are ventilating an adult patient with a bag-valve mask when you notice that his abdomen is getting bigger. You should:,1,decrease the flow of oxygen.,apply pressure to the abdomen.,apply cricoid pressure.,suction the airway.,,,C,
3,26,1,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,dd332a6e-2b43-4c4f-af79-ac8be9c035ac,radio_button,The first rule of safe lifting is to:,1,always lift with your palms facing down.,spread your legs approximately 20″ apart.,keep your back in a slightly curved position.,"keep your back in a straight, vertical position.",,,D,
3,27,2,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,aa7aaebb-f9f3-4293-9363-2a8c5a41f187,radio_button,Which of the following best describes body mechanics?,1,Proper use of the body to facilitate lifting and moving objects,Equipment that mimics the human body's functions,Equipment designed to minimize stress on the user's body,Proper use of the body to protect patient safety,,,A,
3,28,3,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,d6806a8a-6c2e-488f-a58d-1955b397f1d6,radio_button,"During an emergency move, which of the following techniques should be used, whenever possible, to minimize the possibility of further aggravating a possible spinal injury?",1,Roll the patient over.,Move the patient in the direction of the long axis of the body.,"Move the patient sideways, alternating between moving the shoulders, then the hips.","Pull the patient from the feet, not the shoulders.",,,B,
3,29,4,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,400d875b-7018-473c-b7b8-0f5d674c3046,radio_button,"When moving a conscious, weak patient down a flight of stairs, you should:",1,assist the patient in walking down the stairs and place him or her on the wheeled stretcher at the bottom of the stairs.,secure the patient to a scoop stretcher and carry him or her headfirst down the stairs to the awaiting stretcher.,collapse the undercarriage of the wheeled stretcher and carefully carry the patient down the stairs on the stretcher.,secure the patient to a scoop stretcher and carry him or her feet first down the stairs to the awaiting stretcher.,,,D,
3,30,5,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,becda2ff-c411-4ea6-9b59-00e4ccf28475,radio_button,"When transporting a patient to the hospital, you should:",1,be safe and get the patient to the hospital in the shortest practical time.,secure the patient to the ambulance stretcher with at least two straps.,generally exceed the posted speed limit by 10 to 20 mph.,"place the patient on a long backboard, even if no trauma is involved.",,,A,
3,31,6,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,50e9469c-ed32-4cf2-9ade-84c46548cce3,radio_button,The term body mechanics describes the proper use of your body to lift without injury. What are the three considerations to review before any lift?,1,"Equipment, patient injury, and communication","The object, your limitations, and communication","Environment, physical limitations, and communication","The object, patient injury, and communication",,,B,
3,32,7,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,9ae373d3-b406-4ab1-823c-a34acc78e5ea,radio_button,"When a stretcher with a patient secured to it is elevated, what occurs?",1,The stretcher is more stable and easily pushed.,The EMTs lessen the possibility of injury from being bent over the patient.,The center of gravity is raised and this increases the tip hazard.,The patient feels more comfortable being at near normal height.,,,C,
3,33,8,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,0424e5d2-eb10-4f77-a6f4-d28c882be4c4,radio_button,Which of the following devices should be used to carry a patient down the stairs whenever possible?,1,Basket stretcher,Scoop stretcher,Stair chair,Wheeled ambulance stretcher,,,C,
3,34,9,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,d63d4ee2-8ff2-44cb-a337-987d53a7bcb3,radio_button,Why do you hear rales when you auscultate the lungs of a patient who has pulmonary edema?,1,The alveoli pop open with each inspiration.,Air trapped by bronchoconstriction is escaping the alveoli.,Inflammation and pus cause turbulence as air fills the alveoli.,"Mucus plugs and inflammation decrease the diameter of the bronchioles, causing turbulence.",,,A,
3,35,10,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,c7748a1d-3cbb-45e7-ba1c-568de4d36ac8,radio_button,"An unresponsive 94-year-old female was found by her husband in bed. He tells you that she has a history of diabetes. You do not observe chest rise or air movement, but she has a pulse. You should first:",1,assess her vital signs.,assess her blood glucose level.,administer oxygen by non-rebreather mask.,ventilate her with a BVM.,,,D,
3,36,11,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,2d67b1b7-39db-443d-9e62-66a1e6fad861,radio_button,You are moving an elderly patient down the stairs using a stair chair. The patient is alert and very anxious. What should you do prior to moving the patient to prevent her from grabbing the railing and causing you to fall?,1,Explain to the patient what you are doing and advise her to hold her hands together and not let go until you are finished moving her.,Use a strap to safely secure the patient's arms to the chair without causing any loss of circulation to the patient's extremities.,Gently tie the patient's hands together until you are downstairs to prevent her from unconsciously grabbing the railing.,Place the patient on oxygen during the move to calm her down.,,,A,
3,37,12,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,231603d0-b9c1-48ba-b253-23028a1ddf9b,radio_button,"You and your partner arrive on the scene of a 400-pound patient lying in bed. He complains of nausea and vomiting for the past 3 days. When he tries to sit up, he gets very dizzy and has a syncopal episode. Realizing that he cannot assist you in getting on the stretcher, you decide to do which of the following?",1,Call for additional manpower to safely move the patient.,Place the patient on a backboard to provide better gripping points to move the patient.,Use the patient's sheets to slide him over to the stretcher.,Use the power lift technique to carefully and safely lift the patient to the stretcher.,,,A,
3,38,13,Refresher A - 3,772e07cf-d20b-4c8e-a6a5-d2917f5aa5c7,63f1e83f-00b8-465d-938d-ea4c677e7919,radio_button,Which device is appropriate for moving a patient with a suspected pelvic injury?,1,Long board,Stair chair,Mega mover,Scoop stretcher,,,D,
4,39,1,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,4651b9d0-9c81-4d54-9e4c-137849676bfd,radio_button,"You are performing abdominal thrusts on a choking adult when they suddenly lose consciousness, you should next:",1,Begin CPR,Perform a blind finger sweep,Provide manual ventilations,Begin back blows,,,A,
4,40,2,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,59bf9da7-530d-4aad-86ad-7ee02da49980,radio_button,During 2 rescuer Child CPR the compression to ventilation ratio should be:,1,3:1,30:2,15:2,15:1,,,C,
4,41,3,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,a553486a-a196-4c49-b5bc-b505605a6851,radio_button,"During 1 rescuer Adult CPR, the compression rate should be:",1,100-150,100-120,60-100,90-110,,,B,
4,42,4,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,e30da7e2-f311-4073-bcb4-fb2da7af66f9,radio_button,"You and your EMT partner are preparing to ventilate an elderly non-trauma patient who has a stoma. Your partner performs the head-tilt, chin-lift maneuver and you ask him to return the patient's head to a neutral position. ""Why? This is not a pediatric patient!"" your partner protests. What would you say?",1,It is not necessary to position the airway of a stoma breather when providing ventilations.,"Using the head-tilt, chin-lift prior to clearing any mucus plugs from the stoma can cause airway occlusion.",Stoma breathers should only have their airways positioned after placement of the ventilation device.,Elderly patients should never have their heads tilted back because spinal curvatures are common and can prevent airway positioning.,,,A,
4,43,5,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,d4a93de9-d66f-4c9d-a3bf-c534fb8c1bf0,radio_button,"You are transporting a 44-year-old female with chest pain and sudden respiratory distress. She is agitated, anxious, and refuses to have a nonrebreather mask applied. Which of the following is the best option?",1,Do not make further attempts to administer oxygen as it will only agitate the patient further.,Have her breathe into a paper bag to control her hyperventilation.,Use a nasal cannula instead.,Consult with medical control about restraining the patient.,,,C,
4,44,6,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,a8455f37-7b37-4232-9399-806e4f5d902d,radio_button,Which of these patients would require a tracheostomy mask for supplemental oxygen administration?,1,A patient with chronic bronchitis,A patient with quadriplegia,A patient with a stoma,A patient with upper airway inflammation,,,C,
4,45,7,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,fbdd08cc-1cc8-41d9-8eb0-469ffb692f77,radio_button,"After establishing that an adult patient is unresponsive, you should:",1,manually open the airway.,immediately begin chest compressions.,assess for breathing and a pulse.,"apply the AED and deliver a shock, if needed.",,,C,
4,46,8,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,e67e7081-e6fe-4adf-8c36-bd1cd1df5ab9,radio_button,"During the primary assessment of an unresponsive two-month-old infant, which pulse should be palpated?",1,Umbilical,Brachial,Carotid,Radial,,,B,
4,47,9,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,195dd21a-8297-4e99-a3a6-5baacf122e5c,radio_button,"A 60-year-old man is found to be unresponsive, pulseless, and apneic. You should:",1,determine if he has a valid living will.,withhold CPR until he is defibrillated.,begin CPR immediately and use an AED as soon as it becomes available,start CPR and transport immediately.,,,C,
4,48,10,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,4f979838-b569-4045-8e6e-08efa6b5165a,radio_button,CPR will NOT be effective if the patient is:,1,Horizontal,supine,Prone,On a firm surface,,,C,
4,49,11,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,21200dca-c01f-4a16-baee-e92fc32ede94,radio_button,"In most cases, cardiopulmonary arrest in infants and children is caused by:",1,a drug overdose.,severe chest trauma.,respiratory arrest.,a cardiac dysrhythmia.,,,C,
4,50,12,Refresher A - 4,16ca7d9a-d3a4-4a24-85fe-ccb49def519d,1336ac29-fd3c-4307-aba1-eafc5a48b09d,radio_button,What is the correct ratio of compressions to ventilations when performing two-rescuer adult CPR?,1,30:2,5:1,15:1,3:1,,,A,
